name,rss_url,domain,category,already_in_docuaction
FCC.gov - News Releases,https://www.fcc.gov/rss/news-releases,fcc.gov,Government,True
FCC.gov - Headlines,https://www.fcc.gov/rss/headlines,fcc.gov,Government,True
Federal Register - FCC,https://www.federalregister.gov/documents/search.rss?conditions%5Bagencies%5D%5B%5D=federal-communications-commission,federalregister.gov,Government,True
Broadband Breakfast,https://broadbandbreakfast.com/feed/,broadbandbreakfast.com,Telecom Trade,True
Light Reading,https://www.lightreading.com/rss.xml,lightreading.com,Telecom Trade,True
Fierce Network,https://www.fierce-network.com/rss/xml,fierce-network.com,Telecom Trade,True
Fierce Wireless,https://www.fiercewireless.com/rss/xml,fiercewireless.com,Telecom Trade,True
RCR Wireless,https://www.rcrwireless.com/feed,rcrwireless.com,Telecom Trade,True
TR Daily,https://trdaily.com/feed/,trdaily.com,Telecom Trade,False
Telecompaper,https://www.telecompaper.com/rss/news,telecompaper.com,Telecom Trade,True
Total Tele,https://www.totaltele.com/rss.xml,totaltele.com,Telecom Trade,True
Telecoms,https://telecoms.com/feed/,telecoms.com,Telecom Trade,True
Telecom Reseller,https://telecomreseller.com/feed/,telecomreseller.com,Telecom Trade,False
Telco Magazine,https://www.telcomagazine.com/feed/,telcomagazine.com,Telecom Trade,False
Broadband World News,https://www.broadbandworldnews.com/rss.xml,broadbandworldnews.com,Telecom Trade,False
Inside Towers,https://insidetowers.com/feed/,insidetowers.com,Telecom Trade,True
Wireless Week,https://www.wirelessweek.com/rss.xml,wirelessweek.com,Telecom Trade,False
TeleGeography,https://www.telegeography.com/feed/,telegeography.com,Telecom Trade,True
Vanilla Plus,https://www.vanillaplus.com/feed/,vanillaplus.com,Telecom Trade,False
Developing Telecoms,https://developingtelecoms.com/feed,developingtelecoms.com,Telecom Trade,False
Mobile World Live,https://www.mobileworldlive.com/feed/,mobileworldlive.com,Telecom Trade,True
Comms Update,https://www.commsupdate.com/feed/,commsupdate.com,Telecom Trade,False
SDxCentral,https://www.sdxcentral.com/feed/,sdxcentral.com,Telecom Trade,False
Network World,https://www.networkworld.com/index.rss,networkworld.com,Telecom Trade,False
TIA Online,https://tiaonline.org/feed/,tiaonline.org,Telecom Trade,False
TV Technology,https://www.tvtechnology.com/rss.xml,tvtechnology.com,Broadcast/Radio,True
NextTV,https://www.nexttv.com/rss.xml,nexttv.com,Broadcast/Radio,False
Radio World,https://www.radioworld.com/feed/,radioworld.com,Broadcast/Radio,True
TVNewsCheck,https://tvnewscheck.com/feed/,tvnewscheck.com,Broadcast/Radio,True
RBR,https://www.rbr.com/feed/,rbr.com,Broadcast/Radio,True
Inside Radio,https://www.insideradio.com/rss.xml,insideradio.com,Broadcast/Radio,False
All Access,https://www.allaccess.com/merge/archive/rss.xml,allaccess.com,Broadcast/Radio,False
Talkers,https://talkers.com/feed/,talkers.com,Broadcast/Radio,False
Radio Ink,https://radioink.com/feed/,radioink.com,Broadcast/Radio,True
The Desk,https://thedesk.net/feed/,thedesk.net,Broadcast/Radio,True
Cord Cutters News,https://cordcuttersnews.com/feed/,cordcuttersnews.com,Broadcast/Radio,False
FCC Data,https://fccdata.org/feed/,fccdata.org,Broadcast/Radio,False
Benton Institute,https://www.benton.org/rss.xml,benton.org,Government,True
Public Knowledge,https://publicknowledge.org/feed/,publicknowledge.org,Government,True
TechFreedom,https://techfreedom.org/feed/,techfreedom.org,Government,False
EFF,https://www.eff.org/rss/updates.xml,eff.org,Government,True
Law360,https://www.law360.com/rss/articles,law360.com,Government,False
Federal News Network,https://federalnewsnetwork.com/feed/,federalnewsnetwork.com,Government,False
GovTech,https://www.govtech.com/rss,govtech.com,Government,False
National Law Review,https://www.natlawreview.com/recent/feed,natlawreview.com,Government,False
SCOTUSblog,https://www.scotusblog.com/feed/,scotusblog.com,Government,False
Yale JREG,https://www.yalejreg.com/feed/,yalejreg.com,Government,False
Brookings TechTank,https://www.brookings.edu/topic/technology-innovation/feed/,brookings.edu,Government,False
ITIF,https://itif.org/feed/,itif.org,Government,False
AEI,https://www.aei.org/feed/,aei.org,Government,False
CSIS,https://www.csis.org/rss.xml,csis.org,Government,False
Politico,https://www.politico.com/rss/technology.xml,politico.com,Government,True
Nextgov,https://www.nextgov.com/rss/all/,nextgov.com,Government,False
Bloomberg Law,https://www.bloomberglaw.com/feed,bloomberglaw.com,Government,False
Ars Technica,https://feeds.arstechnica.com/arstechnica/index,feeds.arstechnica.com,Technology,True
The Verge,https://www.theverge.com/rss/index.xml,theverge.com,Technology,True
TechCrunch,https://techcrunch.com/feed/,techcrunch.com,Technology,True
TechDirt,https://www.techdirt.com/feed/,techdirt.com,Technology,False
Wired,https://www.wired.com/feed/rss,wired.com,Technology,True
Engadget,https://www.engadget.com/rss.xml,engadget.com,Technology,True
Gizmodo,https://gizmodo.com/feed/,gizmodo.com,Technology,False
CNET,https://www.cnet.com/rss/news/,cnet.com,Technology,True
ZDNet,https://www.zdnet.com/news/rss.xml,zdnet.com,Technology,False
VentureBeat,https://venturebeat.com/feed/,venturebeat.com,Technology,False
Digital Trends,https://www.digitaltrends.com/feed/,digitaltrends.com,Technology,False
TechRadar,https://www.techradar.com/feeds/,techradar.com,Technology,False
PCMag,https://www.pcmag.com/feeds/latest,pcmag.com,Technology,False
Slashdot,https://rss.slashdot.org/Slashdot/slashdotMain,rss.slashdot.org,Technology,False
Mashable,https://mashable.com/feeds/rss/all,mashable.com,Technology,False
eWeek,https://www.eweek.com/rss.xml,eweek.com,Technology,False
CRN,https://www.crn.com/rss,crn.com,Technology,False
CIO,https://www.cio.com/feed/,cio.com,Technology,False
Reuters Technology,https://feeds.reuters.com/reuters/technologyNews,feeds.reuters.com,Major News/Wire,True
Reuters Business,https://feeds.reuters.com/reuters/businessNews,feeds.reuters.com,Major News/Wire,True
AP News Technology,https://rsshub.app/apnews/topics/technology,rsshub.app,Major News/Wire,False
AP News Politics,https://rsshub.app/apnews/topics/politics,rsshub.app,Major News/Wire,False
Bloomberg Technology,https://feeds.bloomberg.com/technology/news.rss,feeds.bloomberg.com,Major News/Wire,False
Bloomberg Politics,https://feeds.bloomberg.com/politics/news.rss,feeds.bloomberg.com,Major News/Wire,False
Wall Street Journal Tech,https://feeds.content.dowjones.io/public/rss/mw_technology,feeds.content.dowjones.io,Major News/Wire,False
New York Times Tech,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,rss.nytimes.com,Major News/Wire,True
New York Times Politics,https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,rss.nytimes.com,Major News/Wire,True
Washington Post Tech,https://feeds.washingtonpost.com/rss/business/technology,feeds.washingtonpost.com,Major News/Wire,True
The Hill,https://thehill.com/feed/,thehill.com,Major News/Wire,True
