source_id,source_name,website,rss_url,category,tier,authority_score,enabled,country,source_type,collection_method,notes
leg_0000,FCC.gov - News Releases,fcc.gov,https://www.fcc.gov/rss/news-releases,Government,1,100,True,US,government,rss,authority=heuristic-by-category
leg_0001,FCC.gov - Headlines,fcc.gov,https://www.fcc.gov/rss/headlines,Government,1,100,True,US,government,rss,authority=heuristic-by-category
leg_0002,Federal Register - FCC,federalregister.gov,https://www.federalregister.gov/documents/search.rss?conditions%5Bagencies%5D%5B%5D=federal-communications-commission,Government,1,100,True,US,government,rss,authority=heuristic-by-category
leg_0003,Broadband Breakfast,broadbandbreakfast.com,https://broadbandbreakfast.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0004,Light Reading,lightreading.com,https://www.lightreading.com/rss.xml,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0005,Fierce Network,fierce-network.com,https://www.fierce-network.com/rss/xml,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0006,Fierce Wireless,fiercewireless.com,https://www.fiercewireless.com/rss/xml,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0007,RCR Wireless,rcrwireless.com,https://www.rcrwireless.com/feed,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0008,TR Daily,trdaily.com,https://trdaily.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0009,Telecompaper,telecompaper.com,https://www.telecompaper.com/rss/news,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0010,Total Tele,totaltele.com,https://www.totaltele.com/rss.xml,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0011,Telecoms,telecoms.com,https://telecoms.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0012,Telecom Reseller,telecomreseller.com,https://telecomreseller.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0013,Telco Magazine,telcomagazine.com,https://www.telcomagazine.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0014,Broadband World News,broadbandworldnews.com,https://www.broadbandworldnews.com/rss.xml,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0015,Inside Towers,insidetowers.com,https://insidetowers.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0016,Wireless Week,wirelessweek.com,https://www.wirelessweek.com/rss.xml,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0017,TeleGeography,telegeography.com,https://www.telegeography.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0018,Vanilla Plus,vanillaplus.com,https://www.vanillaplus.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0019,Developing Telecoms,developingtelecoms.com,https://developingtelecoms.com/feed,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0020,Mobile World Live,mobileworldlive.com,https://www.mobileworldlive.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0021,Comms Update,commsupdate.com,https://www.commsupdate.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0022,SDxCentral,sdxcentral.com,https://www.sdxcentral.com/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0023,Network World,networkworld.com,https://www.networkworld.com/index.rss,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0024,TIA Online,tiaonline.org,https://tiaonline.org/feed/,Telecom Trade,2,82,True,US,trade_publication,rss,authority=heuristic-by-category
leg_0025,TV Technology,tvtechnology.com,https://www.tvtechnology.com/rss.xml,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0026,NextTV,nexttv.com,https://www.nexttv.com/rss.xml,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0027,Radio World,radioworld.com,https://www.radioworld.com/feed/,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0028,TVNewsCheck,tvnewscheck.com,https://tvnewscheck.com/feed/,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0029,RBR,rbr.com,https://www.rbr.com/feed/,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0030,Inside Radio,insideradio.com,https://www.insideradio.com/rss.xml,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0031,All Access,allaccess.com,https://www.allaccess.com/merge/archive/rss.xml,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0032,Talkers,talkers.com,https://talkers.com/feed/,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0033,Radio Ink,radioink.com,https://radioink.com/feed/,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
leg_0034,The Desk,thedesk.net,https://thedesk.net/feed/,Broadcast/Radio,2,72,True,US,broadcast,rss,authority=heuristic-by-category
